ticker,series,date,value
SDN,Down Var (SDN),2018-08-09,22.1383
SDN,Down Var (SDN),2018-08-10,21.4249
SDN,Down Var (SDN),2018-08-13,20.6034
SDN,Down Var (SDN),2018-08-14,20.0583
SDN,Down Var (SDN),2018-08-15,19.9905
SDN,Down Var (SDN),2018-08-16,21.9236
SDN,Down Var (SDN),2018-08-17,22.3144
SDN,Down Var (SDN),2018-08-20,21.5467
SDN,Down Var (SDN),2018-08-21,21.2035
SDN,Down Var (SDN),2018-08-22,23.0561
SDN,Down Var (SDN),2018-08-23,22.1429
SDN,Down Var (SDN),2018-08-24,21.2712
SDN,Down Var (SDN),2018-08-27,20.6446
SDN,Down Var (SDN),2018-08-28,19.8214
SDN,Down Var (SDN),2018-08-29,18.317
SDN,Down Var (SDN),2018-08-30,18.9777
SDN,Down Var (SDN),2018-08-31,18.4584
SDN,Down Var (SDN),2018-09-04,19.5997
SDN,Down Var (SDN),2018-09-05,19.6361
SDN,Down Var (SDN),2018-09-06,19.4495
SDN,Down Var (SDN),2018-09-07,19.628
SDN,Down Var (SDN),2018-09-10,20.4338
SDN,Down Var (SDN),2018-09-11,21.6253
SDN,Down Var (SDN),2018-09-12,19.7723
SDN,Down Var (SDN),2018-09-13,19.1218
SDN,Down Var (SDN),2018-09-14,18.5613
SDN,Down Var (SDN),2018-09-17,18.7355
SDN,Down Var (SDN),2018-09-18,18.985
SDN,Down Var (SDN),2018-09-19,18.9032
SDN,Down Var (SDN),2018-09-20,20.0704
SDN,Down Var (SDN),2018-09-21,18.8067
SDN,Down Var (SDN),2018-09-24,19.195
SDN,Down Var (SDN),2018-09-25,18.7532
SDN,Down Var (SDN),2018-09-26,18.8277
SDN,Down Var (SDN),2018-09-27,17.9178
SDN,Down Var (SDN),2018-09-28,16.5084
SDN,Down Var (SDN),2018-10-01,17.549
SDN,Down Var (SDN),2018-10-02,18.2026
SDN,Down Var (SDN),2018-10-03,17.8739
SDN,Down Var (SDN),2018-10-04,17.6756
SDN,Down Var (SDN),2018-10-05,17.7751
SDN,Down Var (SDN),2018-10-08,17.8889
SDN,Down Var (SDN),2018-10-09,17.5256
SDN,Down Var (SDN),2018-10-10,17.6256
SDN,Down Var (SDN),2018-10-11,15.9492
SDN,Down Var (SDN),2018-10-12,15.9308
SDN,Down Var (SDN),2018-10-15,18.0398
SDN,Down Var (SDN),2018-10-16,17.6867
SDN,Down Var (SDN),2018-10-17,17.8058
SDN,Down Var (SDN),2018-10-18,18.6736
SDN,Down Var (SDN),2018-10-19,18.4661
SDN,Down Var (SDN),2018-10-22,17.7036
SDN,Down Var (SDN),2018-10-23,16.878
SDN,Down Var (SDN),2018-10-24,16.5696
SDN,Down Var (SDN),2018-10-25,16.9417
SDN,Down Var (SDN),2018-10-26,16.5458
SDN,Down Var (SDN),2018-10-29,16.3271
SDN,Down Var (SDN),2018-10-30,15.8213
SDN,Down Var (SDN),2018-10-31,15.6133
SDN,Down Var (SDN),2018-11-01,17.7433
SDN,Down Var (SDN),2018-11-02,17.5089
SDN,Down Var (SDN),2018-11-05,18.172
SDN,Down Var (SDN),2018-11-06,18.0906
SDN,Down Var (SDN),2018-11-07,17.6545
SDN,Down Var (SDN),2018-11-08,16.1642
SDN,Down Var (SDN),2018-11-09,15.5816
SDN,Down Var (SDN),2018-11-12,15.5468
SDN,Down Var (SDN),2018-11-13,16.2805
SDN,Down Var (SDN),2018-11-14,16.3629
SDN,Down Var (SDN),2018-11-15,17.2194
SDN,Down Var (SDN),2018-11-16,19.8122
SDN,Down Var (SDN),2018-11-19,18.9699
SDN,Down Var (SDN),2018-11-20,18.3167
SDN,Down Var (SDN),2018-11-21,17.9404
SDN,Down Var (SDN),2018-11-23,17.47
SDN,Down Var (SDN),2018-11-26,18.6537
SDN,Down Var (SDN),2018-11-27,20.3105
SDN,Down Var (SDN),2018-11-28,21.696
SDN,Down Var (SDN),2018-11-29,21.6668
SDN,Down Var (SDN),2018-11-30,23.0313
SDN,Down Var (SDN),2018-12-03,19.5441
SDN,Down Var (SDN),2018-12-04,18.4147
SDN,Down Var (SDN),2018-12-05,18.8918
SDN,Down Var (SDN),2018-12-06,19.4795
SDN,Down Var (SDN),2018-12-07,18.5608
SDN,Down Var (SDN),2018-12-10,17.7117
SDN,Down Var (SDN),2018-12-11,16.7963
SDN,Down Var (SDN),2018-12-12,17.2713
SDN,Down Var (SDN),2018-12-13,17.1291
SDN,Down Var (SDN),2018-12-14,15.3606
SDN,Down Var (SDN),2018-12-17,14.6571
SDN,Down Var (SDN),2018-12-18,14.749
SDN,Down Var (SDN),2018-12-19,14.9417
SDN,Down Var (SDN),2018-12-20,13.9065
SDN,Down Var (SDN),2018-12-21,13.5974
SDN,Down Var (SDN),2018-12-24,13.6685
SDN,Down Var (SDN),2018-12-26,13.6966
SDN,Down Var (SDN),2018-12-27,13.3488
SDN,Down Var (SDN),2018-12-28,13.1919
SDN,Down Var (SDN),2018-12-31,13.4953
SDN,Down Var (SDN),2019-01-02,13.9975
SDN,Down Var (SDN),2019-01-03,14.4445
SDN,Down Var (SDN),2019-01-04,15.024
SDN,Down Var (SDN),2019-01-07,15.914
SDN,Down Var (SDN),2019-01-08,15.3695
SDN,Down Var (SDN),2019-01-09,15.2034
SDN,Down Var (SDN),2019-01-10,14.5096
SDN,Down Var (SDN),2019-01-11,14.2274
SDN,Down Var (SDN),2019-01-14,13.9187
SDN,Down Var (SDN),2019-01-15,14.9893
SDN,Down Var (SDN),2019-01-16,15.0966
SDN,Down Var (SDN),2019-01-17,15.2559
SDN,Down Var (SDN),2019-01-18,16.5505
SDN,Down Var (SDN),2019-01-22,17.1212
