ticker,series,date,value
CCO,Convexity (CCO),2017-07-05,1.0518
CCO,Convexity (CCO),2017-07-06,1.0487
CCO,Convexity (CCO),2017-07-07,1.0573
CCO,Convexity (CCO),2017-07-10,1.0805
CCO,Convexity (CCO),2017-07-11,1.0551
CCO,Convexity (CCO),2017-07-12,1.0617
CCO,Convexity (CCO),2017-07-13,1.0832
CCO,Convexity (CCO),2017-07-14,1.0745
CCO,Convexity (CCO),2017-07-17,1.0925
CCO,Convexity (CCO),2017-07-18,1.1075
CCO,Convexity (CCO),2017-07-19,1.0697
CCO,Convexity (CCO),2017-07-20,1.0845
CCO,Convexity (CCO),2017-07-21,1.0615
CCO,Convexity (CCO),2017-07-24,1.0841
CCO,Convexity (CCO),2017-07-25,1.0712
CCO,Convexity (CCO),2017-07-26,1.0527
CCO,Convexity (CCO),2017-07-27,1.0718
CCO,Convexity (CCO),2017-07-28,1.0813
CCO,Convexity (CCO),2017-07-31,1.084
CCO,Convexity (CCO),2017-08-01,1.0698
CCO,Convexity (CCO),2017-08-02,1.0791
CCO,Convexity (CCO),2017-08-03,1.0603
CCO,Convexity (CCO),2017-08-04,1.0854
CCO,Convexity (CCO),2017-08-07,1.0851
CCO,Convexity (CCO),2017-08-08,1.0785
CCO,Convexity (CCO),2017-08-09,1.0825
CCO,Convexity (CCO),2017-08-10,1.0723
CCO,Convexity (CCO),2017-08-11,1.0835
CCO,Convexity (CCO),2017-08-14,1.0569
CCO,Convexity (CCO),2017-08-15,1.0642
CCO,Convexity (CCO),2017-08-16,1.0423
CCO,Convexity (CCO),2017-08-17,1.0326
CCO,Convexity (CCO),2017-08-18,1.0438
CCO,Convexity (CCO),2017-08-21,1.0485
CCO,Convexity (CCO),2017-08-22,1.0679
CCO,Convexity (CCO),2017-08-23,1.0551
CCO,Convexity (CCO),2017-08-24,1.0447
CCO,Convexity (CCO),2017-08-25,1.0455
CCO,Convexity (CCO),2017-08-28,1.0498
CCO,Convexity (CCO),2017-08-29,1.0467
CCO,Convexity (CCO),2017-08-30,1.0468
CCO,Convexity (CCO),2017-08-31,1.0328
CCO,Convexity (CCO),2017-09-01,1.0425
CCO,Convexity (CCO),2017-09-05,1.0323
CCO,Convexity (CCO),2017-09-06,1.0397
CCO,Convexity (CCO),2017-09-07,1.0292
CCO,Convexity (CCO),2017-09-08,1.0219
CCO,Convexity (CCO),2017-09-11,1.0101
CCO,Convexity (CCO),2017-09-12,1.0258
CCO,Convexity (CCO),2017-09-13,1.0166
CCO,Convexity (CCO),2017-09-14,1.0198
CCO,Convexity (CCO),2017-09-15,1.0196
CCO,Convexity (CCO),2017-09-18,1.0072
CCO,Convexity (CCO),2017-09-19,0.9995
CCO,Convexity (CCO),2017-09-20,1.0176
CCO,Convexity (CCO),2017-09-21,1.0241
CCO,Convexity (CCO),2017-09-22,1.0154
CCO,Convexity (CCO),2017-09-25,1.0413
CCO,Convexity (CCO),2017-09-26,1.031
CCO,Convexity (CCO),2017-09-27,1.04
CCO,Convexity (CCO),2017-09-28,1.0387
CCO,Convexity (CCO),2017-09-29,1.0454
CCO,Convexity (CCO),2017-10-02,1.0507
CCO,Convexity (CCO),2017-10-03,1.0592
CCO,Convexity (CCO),2017-10-04,1.0354
CCO,Convexity (CCO),2017-10-05,1.0696
CCO,Convexity (CCO),2017-10-06,1.0839
CCO,Convexity (CCO),2017-10-09,1.0822
CCO,Convexity (CCO),2017-10-10,1.0661
CCO,Convexity (CCO),2017-10-11,1.0759
CCO,Convexity (CCO),2017-10-12,1.065
CCO,Convexity (CCO),2017-10-13,1.0711
CCO,Convexity (CCO),2017-10-16,1.0877
CCO,Convexity (CCO),2017-10-17,1.1139
CCO,Convexity (CCO),2017-10-18,1.1171
CCO,Convexity (CCO),2017-10-19,1.137
CCO,Convexity (CCO),2017-10-20,1.086
CCO,Convexity (CCO),2017-10-23,1.0888
CCO,Convexity (CCO),2017-10-24,1.0603
CCO,Convexity (CCO),2017-10-25,1.0824
CCO,Convexity (CCO),2017-10-26,1.1314
CCO,Convexity (CCO),2017-10-27,1.0945
CCO,Convexity (CCO),2017-10-30,1.1167
CCO,Convexity (CCO),2017-10-31,1.1096
CCO,Convexity (CCO),2017-11-01,1.0888
CCO,Convexity (CCO),2017-11-02,1.1235
CCO,Convexity (CCO),2017-11-03,1.1199
CCO,Convexity (CCO),2017-11-06,1.1144
CCO,Convexity (CCO),2017-11-07,1.0684
CCO,Convexity (CCO),2017-11-08,1.0758
CCO,Convexity (CCO),2017-11-09,1.0915
CCO,Convexity (CCO),2017-11-10,1.0616
CCO,Convexity (CCO),2017-11-13,1.0768
CCO,Convexity (CCO),2017-11-14,1.0486
CCO,Convexity (CCO),2017-11-15,1.0885
CCO,Convexity (CCO),2017-11-16,1.0687
CCO,Convexity (CCO),2017-11-17,1.0984
CCO,Convexity (CCO),2017-11-20,1.0646
CCO,Convexity (CCO),2017-11-21,1.0978
CCO,Convexity (CCO),2017-11-22,1.0766
CCO,Convexity (CCO),2017-11-24,1.085
CCO,Convexity (CCO),2017-11-27,1.0472
CCO,Convexity (CCO),2017-11-28,1.0888
CCO,Convexity (CCO),2017-11-29,1.0517
CCO,Convexity (CCO),2017-11-30,1.0594
CCO,Convexity (CCO),2017-12-01,1.0618
CCO,Convexity (CCO),2017-12-04,1.0514
CCO,Convexity (CCO),2017-12-05,1.0575
CCO,Convexity (CCO),2017-12-06,1.0212
CCO,Convexity (CCO),2017-12-07,1.0739
CCO,Convexity (CCO),2017-12-08,1.0167
CCO,Convexity (CCO),2017-12-11,1.0799
CCO,Convexity (CCO),2017-12-12,0.9986
CCO,Convexity (CCO),2017-12-13,1.0222
CCO,Convexity (CCO),2017-12-14,1.0623
CCO,Convexity (CCO),2017-12-15,1.0289
CCO,Convexity (CCO),2017-12-18,1.073
CCO,Convexity (CCO),2017-12-19,1.0385
CCO,Convexity (CCO),2017-12-20,1.0895
CCO,Convexity (CCO),2017-12-21,1.0687
CCO,Convexity (CCO),2017-12-22,1.0621
CCO,Convexity (CCO),2017-12-26,1.0015
CCO,Convexity (CCO),2017-12-27,1.0774
CCO,Convexity (CCO),2017-12-28,1.0893
CCO,Convexity (CCO),2017-12-29,1.0799
CCO,Convexity (CCO),2018-01-02,1.03
CCO,Convexity (CCO),2018-01-03,1.0399
CCO,Convexity (CCO),2018-01-04,1.1017
CCO,Convexity (CCO),2018-01-05,1.0909
CCO,Convexity (CCO),2018-01-08,1.0819
CCO,Convexity (CCO),2018-01-09,1.0642
CCO,Convexity (CCO),2018-01-10,1.0749
CCO,Convexity (CCO),2018-01-11,1.0733
CCO,Convexity (CCO),2018-01-12,1.096
CCO,Convexity (CCO),2018-01-16,1.0402
CCO,Convexity (CCO),2018-01-17,1.02
CCO,Convexity (CCO),2018-01-18,1.1085
CCO,Convexity (CCO),2018-01-19,1.0642
CCO,Convexity (CCO),2018-01-22,1.1484
CCO,Convexity (CCO),2018-01-23,1.1193
CCO,Convexity (CCO),2018-01-24,1.1479
CCO,Convexity (CCO),2018-01-25,1.1661
CCO,Convexity (CCO),2018-01-26,1.1186
CCO,Convexity (CCO),2018-01-29,1.0959
CCO,Convexity (CCO),2018-01-30,1.1139
CCO,Convexity (CCO),2018-01-31,1.1177
CCO,Convexity (CCO),2018-02-01,1.1036
CCO,Convexity (CCO),2018-02-02,1.1207
CCO,Convexity (CCO),2018-02-05,1.1098
CCO,Convexity (CCO),2018-02-06,1.0729
CCO,Convexity (CCO),2018-02-07,1.0631
CCO,Convexity (CCO),2018-02-08,1.057
CCO,Convexity (CCO),2018-02-09,1.1014
CCO,Convexity (CCO),2018-02-12,1.0991
CCO,Convexity (CCO),2018-02-13,1.0844
CCO,Convexity (CCO),2018-02-14,1.1006
CCO,Convexity (CCO),2018-02-15,1.0797
CCO,Convexity (CCO),2018-02-16,1.0672
CCO,Convexity (CCO),2018-02-20,1.0687
CCO,Convexity (CCO),2018-02-21,1.0914
CCO,Convexity (CCO),2018-02-22,1.0689
CCO,Convexity (CCO),2018-02-23,1.0894
CCO,Convexity (CCO),2018-02-26,1.0813
CCO,Convexity (CCO),2018-02-27,1.0803
CCO,Convexity (CCO),2018-02-28,1.07
CCO,Convexity (CCO),2018-03-01,1.0714
CCO,Convexity (CCO),2018-03-02,1.1104
CCO,Convexity (CCO),2018-03-05,1.0976
CCO,Convexity (CCO),2018-03-06,1.062
CCO,Convexity (CCO),2018-03-07,1.0729
CCO,Convexity (CCO),2018-03-08,1.0511
CCO,Convexity (CCO),2018-03-09,1.0728
CCO,Convexity (CCO),2018-03-12,1.0987
CCO,Convexity (CCO),2018-03-13,1.091
CCO,Convexity (CCO),2018-03-14,1.0677
CCO,Convexity (CCO),2018-03-15,1.1048
CCO,Convexity (CCO),2018-03-16,1.0334
CCO,Convexity (CCO),2018-03-19,1.082
CCO,Convexity (CCO),2018-03-20,1.0623
CCO,Convexity (CCO),2018-03-21,1.0813
CCO,Convexity (CCO),2018-03-22,1.072
CCO,Convexity (CCO),2018-03-23,1.0424
CCO,Convexity (CCO),2018-03-26,1.0494
CCO,Convexity (CCO),2018-03-27,1.0617
CCO,Convexity (CCO),2018-03-28,1.0338
CCO,Convexity (CCO),2018-03-29,1.0398
CCO,Convexity (CCO),2018-04-02,1.093
CCO,Convexity (CCO),2018-04-03,1.0553
CCO,Convexity (CCO),2018-04-04,1.0673
CCO,Convexity (CCO),2018-04-05,1.0459
CCO,Convexity (CCO),2018-04-06,1.0454
CCO,Convexity (CCO),2018-04-09,1.0576
CCO,Convexity (CCO),2018-04-10,1.0632
CCO,Convexity (CCO),2018-04-11,1.0636
CCO,Convexity (CCO),2018-04-12,1.0991
CCO,Convexity (CCO),2018-04-13,1.134
CCO,Convexity (CCO),2018-04-16,1.1501
CCO,Convexity (CCO),2018-04-17,1.1032
CCO,Convexity (CCO),2018-04-18,1.0831
CCO,Convexity (CCO),2018-04-19,1.0628
CCO,Convexity (CCO),2018-04-20,1.1036
CCO,Convexity (CCO),2018-04-23,1.0514
CCO,Convexity (CCO),2018-04-24,1.0944
CCO,Convexity (CCO),2018-04-25,1.077
CCO,Convexity (CCO),2018-04-26,1.109
CCO,Convexity (CCO),2018-04-27,1.1112
CCO,Convexity (CCO),2018-04-30,1.1727
CCO,Convexity (CCO),2018-05-01,1.156
CCO,Convexity (CCO),2018-05-02,1.1361
CCO,Convexity (CCO),2018-05-03,1.1061
CCO,Convexity (CCO),2018-05-04,1.1361
CCO,Convexity (CCO),2018-05-07,1.1294
CCO,Convexity (CCO),2018-05-08,1.0949
CCO,Convexity (CCO),2018-05-09,1.0761
CCO,Convexity (CCO),2018-05-10,1.1154
CCO,Convexity (CCO),2018-05-11,1.135
CCO,Convexity (CCO),2018-05-14,1.1381
CCO,Convexity (CCO),2018-05-15,1.1495
CCO,Convexity (CCO),2018-05-16,1.1208
CCO,Convexity (CCO),2018-05-17,1.0879
CCO,Convexity (CCO),2018-05-18,1.0996
CCO,Convexity (CCO),2018-05-21,1.0529
CCO,Convexity (CCO),2018-05-22,1.0706
CCO,Convexity (CCO),2018-05-23,1.0614
CCO,Convexity (CCO),2018-05-24,1.0515
CCO,Convexity (CCO),2018-05-25,1.1001
CCO,Convexity (CCO),2018-05-29,1.0941
CCO,Convexity (CCO),2018-05-30,1.0738
CCO,Convexity (CCO),2018-05-31,1.0848
CCO,Convexity (CCO),2018-06-01,1.0942
CCO,Convexity (CCO),2018-06-04,1.1031
CCO,Convexity (CCO),2018-06-05,1.0686
CCO,Convexity (CCO),2018-06-06,1.0927
CCO,Convexity (CCO),2018-06-07,1.0927
CCO,Convexity (CCO),2018-06-08,1.0873
CCO,Convexity (CCO),2018-06-11,1.0989
CCO,Convexity (CCO),2018-06-12,1.0884
CCO,Convexity (CCO),2018-06-13,1.0609
CCO,Convexity (CCO),2018-06-14,1.0507
CCO,Convexity (CCO),2018-06-15,1.07
CCO,Convexity (CCO),2018-06-18,1.0957
CCO,Convexity (CCO),2018-06-19,1.0632
CCO,Convexity (CCO),2018-06-20,1.0964
CCO,Convexity (CCO),2018-06-21,1.1041
CCO,Convexity (CCO),2018-06-22,1.0956
CCO,Convexity (CCO),2018-06-25,1.1092
CCO,Convexity (CCO),2018-06-26,1.0951
CCO,Convexity (CCO),2018-06-27,1.1309
CCO,Convexity (CCO),2018-06-28,1.1033
CCO,Convexity (CCO),2018-06-29,1.1163
CCO,Convexity (CCO),2018-07-02,1.1265
CCO,Convexity (CCO),2018-07-03,1.1344
CCO,Convexity (CCO),2018-07-05,1.137
CCO,Convexity (CCO),2018-07-06,1.1443
CCO,Convexity (CCO),2018-07-09,1.1152
CCO,Convexity (CCO),2018-07-10,1.1058
CCO,Convexity (CCO),2018-07-11,1.1025
CCO,Convexity (CCO),2018-07-12,1.1009
CCO,Convexity (CCO),2018-07-13,1.1021
CCO,Convexity (CCO),2018-07-16,1.1248
CCO,Convexity (CCO),2018-07-17,1.1452
CCO,Convexity (CCO),2018-07-18,1.1844
CCO,Convexity (CCO),2018-07-19,1.1789
CCO,Convexity (CCO),2018-07-20,1.1895
CCO,Convexity (CCO),2018-07-23,1.1778
