ticker,series,date,value
HGUP,Up Var (HGUP),2021-12-20,27.5949
HGUP,Up Var (HGUP),2021-12-21,27.8031
HGUP,Up Var (HGUP),2021-12-22,29.0219
HGUP,Up Var (HGUP),2021-12-23,29.469
HGUP,Up Var (HGUP),2021-12-27,29.2473
HGUP,Up Var (HGUP),2021-12-28,27.7094
HGUP,Up Var (HGUP),2021-12-29,27.3866
HGUP,Up Var (HGUP),2021-12-30,27.4218
HGUP,Up Var (HGUP),2021-12-31,25.1285
HGUP,Up Var (HGUP),2022-01-03,26.7374
HGUP,Up Var (HGUP),2022-01-04,28.1779
HGUP,Up Var (HGUP),2022-01-05,27.4619
HGUP,Up Var (HGUP),2022-01-06,27.9032
HGUP,Up Var (HGUP),2022-01-07,27.2248
HGUP,Up Var (HGUP),2022-01-10,28.524
HGUP,Up Var (HGUP),2022-01-11,25.6906
HGUP,Up Var (HGUP),2022-01-12,29.4102
HGUP,Up Var (HGUP),2022-01-13,27.9137
HGUP,Up Var (HGUP),2022-01-14,28.2085
HGUP,Up Var (HGUP),2022-01-18,28.2585
HGUP,Up Var (HGUP),2022-01-19,29.552
HGUP,Up Var (HGUP),2022-01-20,32.5936
HGUP,Up Var (HGUP),2022-01-21,31.2367
HGUP,Up Var (HGUP),2022-01-24,30.2919
HGUP,Up Var (HGUP),2022-01-25,30.8636
HGUP,Up Var (HGUP),2022-01-26,30.206
HGUP,Up Var (HGUP),2022-01-27,30.0466
HGUP,Up Var (HGUP),2022-01-28,29.3852
HGUP,Up Var (HGUP),2022-01-31,31.3455
HGUP,Up Var (HGUP),2022-02-01,30.2007
HGUP,Up Var (HGUP),2022-02-02,30.5954
HGUP,Up Var (HGUP),2022-02-03,31.7035
HGUP,Up Var (HGUP),2022-02-04,31.5243
HGUP,Up Var (HGUP),2022-02-07,31.989
HGUP,Up Var (HGUP),2022-02-08,31.281
HGUP,Up Var (HGUP),2022-02-09,32.8646
HGUP,Up Var (HGUP),2022-02-10,32.3934
HGUP,Up Var (HGUP),2022-02-11,31.019
HGUP,Up Var (HGUP),2022-02-14,33.5352
HGUP,Up Var (HGUP),2022-02-15,32.9165
HGUP,Up Var (HGUP),2022-02-16,31.386
HGUP,Up Var (HGUP),2022-02-17,31.7662
HGUP,Up Var (HGUP),2022-02-18,32.0667
HGUP,Up Var (HGUP),2022-02-22,31.5651
HGUP,Up Var (HGUP),2022-02-23,29.6779
HGUP,Up Var (HGUP),2022-02-24,31.3202
HGUP,Up Var (HGUP),2022-02-25,28.1958
HGUP,Up Var (HGUP),2022-02-28,30.9828
HGUP,Up Var (HGUP),2022-03-01,30.4731
HGUP,Up Var (HGUP),2022-03-02,32.0197
HGUP,Up Var (HGUP),2022-03-03,36.4148
HGUP,Up Var (HGUP),2022-03-04,43.2869
HGUP,Up Var (HGUP),2022-03-07,42.465
HGUP,Up Var (HGUP),2022-03-08,45.4402
HGUP,Up Var (HGUP),2022-03-09,42.6601
HGUP,Up Var (HGUP),2022-03-10,42.5222
HGUP,Up Var (HGUP),2022-03-11,34.8
HGUP,Up Var (HGUP),2022-03-14,34.0324
HGUP,Up Var (HGUP),2022-03-15,33.9142
HGUP,Up Var (HGUP),2022-03-16,33.9516
HGUP,Up Var (HGUP),2022-03-17,31.9528
HGUP,Up Var (HGUP),2022-03-18,32.2851
HGUP,Up Var (HGUP),2022-03-21,31.9942
